,age,nationality,place_birth,sex,province,relationship,main_occupation,availability,search_work,search_reason,search_steps,search_method,search_months,main_activity,main_prof_situation,main_sector,contract_type,hours
1873,11,1,2,6,48,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,-0.0
1874,6,1,1,6,1,2,5.0,S,S,3.0,S,3.0,5.0,8.0,4.0,2.0,1.0,20.0
1875,14,1,1,1,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
1876,15,1,1,6,20,2,7.0,,N,,,,,2.0,4.0,2.0,,
1877,13,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,33.0
1878,11,1,1,6,48,2,3.0,,N,,,,,9.0,4.0,1.0,1.0,36.0
1879,15,1,1,6,48,2,9.0,,N,,,,,10.0,4.0,2.0,,
1880,9,1,1,6,20,2,4.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
1881,3,1,1,6,20,3,,,,,,,,,,,,
1882,10,1,1,1,48,1,3.0,,N,,,,,9.0,4.0,2.0,1.0,36.0
1883,13,1,1,1,48,2,7.0,,N,,,,,3.0,2.0,,,40.0
1884,14,1,1,6,48,1,,,N,,,,,,,,,
1885,5,1,1,1,48,3,3.0,,N,,,,,5.0,4.0,2.0,5.0,40.0
1886,15,1,2,6,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
1887,3,1,1,1,1,3,,,,,,,,,,,,
1888,3,1,1,6,1,3,,,,,,,,,,,,
1889,11,1,1,1,20,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
1890,1,1,1,1,20,3,,,,,,,,,,,,
1891,17,1,1,6,20,1,9.0,,N,,,,,10.0,4.0,2.0,,
1892,16,1,2,1,48,1,3.0,,N,,,,,9.0,4.0,2.0,,
1893,10,1,1,6,20,1,3.0,,N,,,,,9.0,4.0,1.0,5.0,39.0
1894,11,1,1,6,48,1,4.0,,N,,,,,10.0,4.0,2.0,1.0,33.0
1895,12,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,1.0,1.0,-0.0
1896,13,1,1,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
1897,11,1,1,6,1,2,9.0,,N,,,,,10.0,4.0,2.0,1.0,7.0
1898,11,1,1,1,1,1,4.0,,N,,,,,9.0,4.0,1.0,1.0,36.0
1899,10,1,1,6,48,2,9.0,,N,,,,,4.0,3.0,,,39.0
1900,15,1,2,1,48,1,4.0,,N,,,,,4.0,4.0,2.0,,
1901,11,1,3,6,1,1,9.0,S,S,6.0,S,3.0,20.0,4.0,4.0,2.0,,
1902,9,1,1,6,48,3,3.0,,N,,,,,6.0,4.0,2.0,1.0,40.0
1903,6,1,1,1,1,3,4.0,,N,,,,,4.0,4.0,2.0,1.0,33.0
1904,18,1,2,6,48,1,9.0,,N,,,,,10.0,4.0,2.0,,
1905,11,1,1,1,20,1,5.0,,N,,,,,4.0,2.0,,,40.0
1906,12,1,2,6,48,2,3.0,,N,,,,,4.0,4.0,2.0,,
1907,7,1,1,1,20,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1908,3,1,1,6,20,3,,,N,,,,,,,,,
1909,14,1,2,1,1,1,5.0,,N,,,,,9.0,4.0,1.0,,
1910,14,1,1,6,48,1,5.0,,N,,,,,9.0,4.0,1.0,,
1911,18,1,1,6,48,1,,,N,,,,,,,,,
1912,9,1,1,6,48,1,3.0,,N,,,,,2.0,4.0,2.0,5.0,40.0
1913,12,1,1,6,48,1,9.0,,N,,,,,9.0,4.0,1.0,5.0,39.0
1914,2,2,1,1,20,3,,,,,,,,,,,,
1915,13,1,2,6,48,2,2.0,,N,,,,,9.0,4.0,1.0,,
1916,11,1,1,1,20,1,3.0,,N,,,,,10.0,4.0,2.0,1.0,40.0
1917,9,1,1,6,48,2,3.0,N,S,4.0,S,7.0,3.0,2.0,4.0,2.0,1.0,39.0
1918,9,1,1,6,20,2,,,N,,,,,,,,,
1919,12,1,1,1,20,1,9.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
1920,2,1,1,1,20,3,,,,,,,,,,,,
1921,12,1,2,1,48,1,7.0,S,S,6.0,S,1.0,43.0,3.0,4.0,2.0,,
1922,2,1,1,1,20,3,,,,,,,,,,,,
1923,5,1,1,1,1,3,5.0,,N,,,,,9.0,4.0,2.0,1.0,1.0
1924,1,1,1,1,20,3,,,,,,,,,,,,
1925,10,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,18.0
1926,15,1,1,6,48,2,8.0,,N,,,,,2.0,4.0,2.0,,
1927,2,1,1,6,48,3,,,,,,,,,,,,
1928,8,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,39.0
1929,13,1,1,6,48,1,,,N,,,,,,,,,
1930,15,1,2,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
1931,17,1,2,1,1,1,8.0,,N,,,,,2.0,4.0,2.0,,
1932,10,1,1,1,20,1,7.0,,N,,,,,2.0,3.0,,,40.0
1933,11,1,1,1,48,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1934,10,1,1,6,20,2,3.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
1935,10,1,1,6,1,1,5.0,S,S,6.0,S,1.0,8.0,4.0,4.0,2.0,,
1936,10,1,1,1,20,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,31.0
1937,8,2,3,1,48,1,9.0,N,S,6.0,S,4.0,18.0,4.0,4.0,2.0,,
1938,7,1,1,1,1,4,3.0,N,S,2.0,S,9.0,19.0,8.0,4.0,2.0,5.0,7.0
1939,9,1,1,6,48,2,4.0,,N,,,,,4.0,4.0,2.0,1.0,28.0
1940,11,1,2,6,48,2,4.0,,N,,,,,2.0,4.0,2.0,,
1941,7,1,3,1,48,2,3.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
1942,10,1,1,1,1,2,7.0,,N,,,,,2.0,4.0,2.0,1.0,-0.0
1943,15,1,1,1,48,1,7.0,,N,,,,,4.0,4.0,2.0,,
1944,13,1,1,6,20,2,9.0,,N,,,,,4.0,4.0,2.0,,
1945,13,1,2,6,48,2,5.0,,N,,,,,10.0,4.0,2.0,,16.0
1946,3,1,1,6,1,3,,,,,,,,,,,,
1947,15,1,1,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
1948,2,1,1,1,20,3,,,,,,,,,,,,
1949,6,1,1,1,20,3,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1950,16,1,1,1,20,1,7.0,,N,,,,,4.0,2.0,,,
1951,6,1,1,6,1,3,3.0,,N,,,,,9.0,4.0,2.0,1.0,37.0
1952,9,1,1,1,48,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
1953,3,1,1,1,1,3,,,N,,,,,,,,,
1954,9,1,1,1,48,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,-0.0
1955,15,1,1,6,20,1,1.0,,N,,,,,7.0,1.0,,,35.0
1956,16,1,1,6,20,2,8.0,,N,,,,,2.0,4.0,2.0,,
1957,10,1,1,1,48,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
1958,2,1,2,6,48,3,,,,,,,,,,,,
1959,13,1,2,6,48,2,9.0,,N,,,,,4.0,4.0,2.0,,
1960,10,1,1,6,20,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,2.0
1961,2,1,1,1,20,3,,,,,,,,,,,,
1962,14,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,1.0,,
1963,9,1,1,1,20,1,3.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
1964,10,1,1,1,1,3,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1965,13,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
1966,3,1,1,6,20,3,,,,,,,,,,,,
1967,13,1,1,6,20,2,3.0,,N,,,,,9.0,4.0,2.0,1.0,37.0
1968,12,1,2,1,48,1,4.0,,N,,,,,4.0,1.0,,,50.0
1969,10,1,1,6,1,2,4.0,,N,,,,,9.0,4.0,1.0,,
1970,17,1,2,1,48,1,8.0,,N,,,,,2.0,4.0,2.0,,
1971,10,1,1,6,20,2,4.0,,N,,,,,8.0,4.0,2.0,1.0,36.0
1972,18,1,2,6,1,1,8.0,,N,,,,,2.0,4.0,2.0,,
1973,11,1,1,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1974,16,1,2,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
1975,14,1,2,6,20,2,9.0,,N,,,,,10.0,4.0,2.0,,
1976,16,1,2,6,48,1,9.0,,N,,,,,8.0,4.0,2.0,,
1977,10,1,1,1,20,1,2.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
1978,12,1,1,6,20,2,2.0,,N,,,,,9.0,4.0,2.0,1.0,42.0
1979,7,1,2,1,48,1,2.0,S,S,6.0,S,7.0,15.0,9.0,4.0,1.0,,
1980,16,1,1,6,20,1,9.0,,N,,,,,4.0,4.0,2.0,,
1981,3,1,1,6,48,3,,,,,,,,,,,,
1982,2,1,1,1,1,3,,,,,,,,,,,,
1983,9,1,1,1,20,3,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1984,6,1,1,1,20,3,7.0,,N,,,,,2.0,4.0,2.0,5.0,40.0
1985,4,1,1,1,20,3,,,N,,,,,,,,,
1986,9,1,1,6,48,2,4.0,,N,,,,,8.0,4.0,2.0,1.0,18.0
1987,12,1,1,1,48,2,5.0,,N,,,,,10.0,2.0,,,40.0
1988,14,1,1,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
1989,9,1,1,1,48,2,7.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
1990,15,1,2,1,48,1,2.0,,N,,,,,9.0,4.0,1.0,,
1991,5,1,1,6,48,3,5.0,,N,,,,,4.0,4.0,2.0,,
1992,10,1,1,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1993,4,1,1,6,1,3,,,N,,,,,,,,,
1994,9,1,3,6,48,2,9.0,,N,,,,,9.0,4.0,2.0,1.0,38.0
1995,9,1,1,6,1,3,4.0,,N,,,,,8.0,4.0,2.0,,
1996,14,1,1,1,1,1,7.0,,N,,,,,3.0,2.0,,,
1997,2,1,1,1,20,3,,,,,,,,,,,,
1998,10,1,1,6,48,2,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
1999,11,1,1,6,1,2,4.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2000,12,1,2,6,48,2,9.0,,N,,,,,2.0,4.0,2.0,,
2001,9,1,1,6,1,1,1.0,,N,,,,,10.0,1.0,,,41.0
2002,2,1,1,1,20,3,,,,,,,,,,,,
2003,18,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2004,15,1,1,6,1,2,2.0,,N,,,,,9.0,4.0,2.0,,
2005,4,1,1,1,1,3,,,N,,,,,,,,,
2006,10,1,1,1,1,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2007,12,1,1,6,48,1,5.0,,N,,,,,4.0,2.0,,,61.0
2008,4,1,1,6,20,3,,,N,,,,,,,,,
2009,3,1,1,6,20,3,,,,,,,,,,,,
2010,10,1,1,6,1,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2011,15,1,1,6,1,2,2.0,,N,,,,,9.0,4.0,2.0,,
2012,16,1,2,6,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
2013,4,1,1,1,48,3,,,N,,,,,,,,,
2014,16,1,1,6,48,1,4.0,,N,,,,,9.0,4.0,1.0,,
2015,10,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
2016,15,1,1,6,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
2017,5,1,1,1,48,3,2.0,,N,,,,,9.0,4.0,1.0,5.0,20.0
2018,8,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,39.0
2019,2,1,1,1,48,3,,,,,,,,,,,,
2020,1,1,1,6,48,3,,,,,,,,,,,,
2021,8,1,1,6,20,2,2.0,,N,,,,,9.0,4.0,1.0,1.0,-0.0
2022,18,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2023,11,1,2,6,20,2,5.0,,N,,,,,9.0,4.0,1.0,5.0,27.0
2024,15,1,1,1,48,4,7.0,,N,,,,,2.0,4.0,2.0,,
2025,5,1,1,6,20,3,5.0,,N,,,,,9.0,4.0,2.0,,
2026,12,1,2,1,48,1,3.0,,N,,,,,10.0,2.0,,,40.0
2027,11,1,1,1,1,1,4.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
2028,1,1,1,6,48,3,,,,,,,,,,,,
2029,4,1,1,1,20,3,,,N,,,,,,,,,
2030,10,1,1,6,1,2,4.0,,N,,,,,9.0,4.0,1.0,5.0,35.0
2031,3,1,1,6,48,3,,,,,,,,,,,,
2032,16,1,2,6,48,1,5.0,,N,,,,,4.0,2.0,,,
2033,12,1,1,1,1,2,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2034,10,1,2,6,1,1,3.0,,N,,,,,9.0,4.0,2.0,1.0,26.0
2035,10,1,3,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2036,11,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2037,7,2,3,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2038,14,1,2,6,48,2,2.0,,N,,,,,9.0,4.0,1.0,,
2039,15,1,1,6,20,2,5.0,,N,,,,,4.0,4.0,2.0,,
2040,2,1,1,1,20,3,,,,,,,,,,,,
2041,10,1,2,6,1,1,5.0,S,S,6.0,S,7.0,4.0,8.0,4.0,2.0,,
2042,14,1,1,6,20,2,2.0,,N,,,,,9.0,4.0,1.0,,
2043,7,1,1,6,48,3,2.0,,N,,,,,9.0,4.0,2.0,,
2044,14,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2045,9,1,1,6,1,2,2.0,,N,,,,,9.0,2.0,,,28.0
2046,11,1,1,6,48,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2047,9,1,3,1,1,1,9.0,S,S,6.0,S,7.0,7.0,4.0,4.0,2.0,,
2048,15,1,1,1,1,1,7.0,,N,,,,,2.0,4.0,2.0,,
2049,14,1,2,6,20,2,4.0,,N,,,,,4.0,2.0,,,
2050,15,1,2,6,48,1,9.0,,N,,,,,10.0,4.0,2.0,,
2051,11,1,1,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2052,9,2,3,1,48,1,9.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
2053,12,1,1,1,20,2,5.0,,N,,,,,5.0,4.0,2.0,1.0,56.0
2054,15,1,2,6,48,1,5.0,,N,,,,,10.0,4.0,2.0,,
2055,9,1,1,6,48,1,4.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
2056,12,1,2,1,48,1,5.0,S,S,5.0,S,7.0,3.0,8.0,4.0,2.0,1.0,35.0
2057,5,1,1,6,48,3,5.0,,N,,,,,4.0,4.0,2.0,5.0,17.0
2058,7,2,3,6,48,1,,S,S,6.0,S,3.0,27.0,,,,,
2059,9,1,1,6,1,1,2.0,,N,,,,,9.0,4.0,1.0,5.0,15.0
2060,15,1,2,1,48,1,2.0,,N,,,,,2.0,2.0,,,
2061,9,1,1,6,1,1,4.0,,N,,,,,4.0,4.0,2.0,1.0,27.0
2062,9,1,1,1,48,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,39.0
2063,12,1,1,6,20,2,4.0,,N,,,,,4.0,1.0,,,40.0
2064,17,1,2,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
2065,15,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2066,9,1,1,1,1,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,36.0
2067,16,1,2,6,48,2,9.0,,N,,,,,10.0,4.0,2.0,,
2068,9,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,2.0,,
2069,11,1,1,6,48,1,5.0,,N,,,,,9.0,4.0,1.0,1.0,20.0
2070,3,1,1,1,20,3,,,,,,,,,,,,
2071,10,1,1,1,48,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2072,10,1,1,6,1,2,2.0,,N,,,,,9.0,4.0,1.0,1.0,-0.0
2073,11,1,1,6,20,2,4.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2074,6,1,1,1,48,1,5.0,S,S,6.0,S,6.0,4.0,4.0,4.0,2.0,,
2075,12,1,1,1,48,1,5.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
2076,3,2,3,6,48,3,,,,,,,,,,,,
2077,11,1,1,6,20,2,5.0,,N,,,,,4.0,2.0,,,41.0
2078,4,1,1,1,48,3,6.0,,N,,,,,1.0,4.0,2.0,,
2079,10,1,1,6,1,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2080,15,1,2,6,1,1,9.0,,N,,,,,10.0,4.0,2.0,,
2081,18,1,2,6,1,1,,,N,,,,,,,,,
2082,12,1,1,6,1,2,5.0,,N,,,,,4.0,3.0,,,19.0
2083,15,1,2,1,48,1,8.0,,N,,,,,2.0,4.0,2.0,,
2084,11,1,2,6,48,1,4.0,,N,,,,,9.0,4.0,1.0,5.0,44.0
2085,14,1,1,6,48,1,,,N,,,,,,,,,
2086,17,1,1,6,20,2,4.0,,N,,,,,2.0,4.0,2.0,,
2087,11,1,1,1,48,3,9.0,,N,,,,,9.0,4.0,1.0,,
2088,11,1,1,1,48,1,3.0,,N,,,,,8.0,4.0,2.0,1.0,39.0
2089,8,1,1,6,1,2,4.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2090,10,1,1,1,20,1,7.0,S,S,6.0,S,4.0,25.0,3.0,5.0,,,
2091,12,1,1,1,20,1,1.0,,N,,,,,4.0,2.0,,,44.0
2092,10,1,1,6,48,2,4.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
2093,13,1,1,1,20,1,5.0,,N,,,,,9.0,4.0,1.0,,
2094,15,1,1,1,48,1,7.0,,N,,,,,8.0,3.0,,,
2095,12,1,1,6,20,2,2.0,,N,,,,,8.0,3.0,,,40.0
2096,11,2,3,6,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
2097,9,1,1,1,20,2,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2098,11,1,1,1,1,1,7.0,,N,,,,,9.0,4.0,1.0,1.0,39.0
2099,4,1,1,1,1,3,,,N,,,,,,,,,
2100,10,1,1,6,1,2,4.0,,N,,,,,4.0,4.0,2.0,1.0,22.0
2101,3,1,1,6,48,3,,,,,,,,,,,,
2102,16,1,1,1,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
2103,15,1,1,1,48,1,4.0,,N,,,,,4.0,4.0,2.0,,
2104,8,2,3,1,20,4,7.0,S,S,6.0,S,10.0,25.0,3.0,4.0,2.0,,
2105,11,1,1,6,20,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2106,1,1,1,1,20,3,,,,,,,,,,,,
2107,5,1,1,6,20,3,5.0,,N,,,,,4.0,4.0,2.0,,
2108,13,1,1,1,1,3,4.0,,N,,,,,7.0,2.0,,,13.0
2109,15,1,1,6,20,2,3.0,,N,,,,,2.0,4.0,2.0,,
2110,16,1,2,1,48,1,8.0,,N,,,,,4.0,4.0,2.0,,
2111,3,1,1,6,1,3,,,,,,,,,,,,
2112,5,1,1,1,48,3,3.0,,N,,,,,5.0,4.0,2.0,5.0,40.0
2113,15,1,2,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
2114,18,1,1,6,1,1,7.0,,N,,,,,2.0,4.0,2.0,,
2115,8,1,1,6,48,3,9.0,,N,,,,,8.0,4.0,2.0,1.0,34.0
2116,17,1,2,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,,
2117,12,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2118,16,1,2,6,48,2,8.0,,N,,,,,4.0,4.0,2.0,,
2119,7,1,3,6,1,1,5.0,S,S,6.0,S,5.0,3.0,8.0,4.0,2.0,,
2120,3,1,1,6,48,3,,,,,,,,,,,,
2121,12,1,1,6,48,2,8.0,,N,,,,,2.0,4.0,2.0,1.0,-0.0
2122,16,1,1,6,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
2123,16,1,1,6,20,1,,,N,,,,,,,,,
2124,1,1,1,6,48,3,,,,,,,,,,,,
2125,2,1,1,1,20,3,,,,,,,,,,,,
2126,9,1,1,1,48,3,7.0,,N,,,,,3.0,4.0,2.0,1.0,-0.0
2127,15,1,2,1,48,1,7.0,,N,,,,,3.0,4.0,2.0,,
2128,12,2,3,6,1,1,9.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2129,10,1,1,1,20,2,9.0,,N,,,,,2.0,4.0,2.0,1.0,39.0
2130,10,1,1,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
2131,17,1,1,1,1,1,6.0,,N,,,,,1.0,2.0,,,
2132,9,1,1,1,48,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2133,3,1,1,1,48,3,,,,,,,,,,,,
2134,10,1,1,6,48,2,2.0,,N,,,,,4.0,4.0,2.0,1.0,33.0
2135,3,1,1,6,20,3,,,,,,,,,,,,
2136,11,1,1,6,48,1,5.0,,N,,,,,9.0,4.0,2.0,1.0,34.0
2137,18,1,2,6,20,1,5.0,,N,,,,,4.0,5.0,,,
2138,5,1,3,6,1,3,5.0,,N,,,,,4.0,4.0,2.0,1.0,10.0
2139,16,1,1,6,1,1,7.0,,N,,,,,2.0,4.0,2.0,,
2140,12,1,1,1,20,1,5.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
2141,9,1,1,6,1,2,5.0,,N,,,,,9.0,4.0,1.0,5.0,35.0
2142,9,1,1,1,48,2,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2143,8,1,1,1,20,3,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2144,13,1,1,1,1,2,7.0,,N,,,,,2.0,4.0,2.0,,
2145,15,1,1,6,20,2,3.0,,N,,,,,2.0,4.0,2.0,,
2146,17,1,1,6,1,2,,,N,,,,,,,,,
2147,5,1,1,1,48,3,,,N,,,,,,,,,
2148,9,1,1,1,1,3,7.0,,N,,,,,2.0,2.0,,,40.0
2149,15,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2150,10,1,1,6,48,2,2.0,,N,,,,,8.0,4.0,2.0,1.0,3.0
2151,12,1,1,6,48,2,3.0,,N,,,,,4.0,4.0,2.0,1.0,44.0
2152,16,1,1,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
2153,10,2,3,6,20,2,2.0,,N,,,,,9.0,4.0,1.0,,
2154,10,1,1,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2155,9,1,1,6,1,2,2.0,S,S,4.0,S,7.0,15.0,9.0,4.0,2.0,1.0,33.0
2156,11,1,1,6,48,3,5.0,,N,,,,,4.0,4.0,2.0,1.0,38.0
2157,10,1,1,1,1,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2158,17,1,1,1,1,1,8.0,,N,,,,,2.0,4.0,2.0,,
2159,14,1,2,6,20,2,8.0,,N,,,,,2.0,4.0,2.0,,
2160,14,1,2,6,20,2,9.0,,N,,,,,10.0,4.0,2.0,,
2161,11,1,1,1,48,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,39.0
2162,2,1,1,1,20,3,,,,,,,,,,,,
2163,12,1,1,1,1,2,7.0,,N,,,,,4.0,4.0,1.0,5.0,-0.0
2164,10,1,2,6,48,2,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2165,16,1,1,1,1,1,7.0,,N,,,,,3.0,4.0,2.0,,
2166,17,1,1,6,1,1,6.0,,N,,,,,1.0,2.0,,,
2167,11,1,1,1,1,1,2.0,S,S,3.0,S,1.0,28.0,9.0,4.0,2.0,5.0,9.0
2168,10,1,1,1,1,1,5.0,,N,,,,,4.0,1.0,,,56.0
2169,18,1,1,6,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
2170,5,1,1,1,1,3,5.0,,N,,,,,4.0,4.0,2.0,,
2171,11,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,35.0
2172,5,1,1,6,1,3,2.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
2173,8,1,1,1,20,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,39.0
2174,17,1,1,6,20,1,5.0,,N,,,,,10.0,4.0,2.0,,
2175,13,1,1,1,48,1,7.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
2176,4,1,1,1,20,3,,,N,,,,,,,,,
2177,10,1,1,6,48,1,5.0,,N,,,,,10.0,2.0,,,40.0
2178,12,1,1,6,20,2,2.0,,N,,,,,8.0,4.0,2.0,,
2179,16,1,1,1,48,1,7.0,,N,,,,,8.0,4.0,2.0,,
2180,4,1,1,6,1,3,,,N,,,,,,,,,
2181,1,1,1,6,48,4,,,,,,,,,,,,
2182,15,1,2,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
2183,10,2,3,1,20,1,2.0,,N,,,,,10.0,4.0,1.0,5.0,35.0
2184,16,1,1,6,48,1,4.0,,N,,,,,2.0,4.0,2.0,,
2185,9,1,1,1,48,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
2186,10,1,3,6,20,4,9.0,,N,,,,,8.0,4.0,2.0,1.0,0.0
2187,10,1,1,1,48,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2188,1,1,1,1,1,3,,,,,,,,,,,,
2189,13,1,1,1,48,1,2.0,,N,,,,,5.0,4.0,2.0,,
2190,7,1,1,1,1,3,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
2191,10,1,1,1,1,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,-0.0
2192,3,1,1,6,20,3,,,N,,,,,,,,,
2193,11,1,1,6,20,2,4.0,,N,,,,,9.0,4.0,1.0,5.0,35.0
2194,18,1,2,1,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
2195,7,1,1,1,48,2,5.0,,N,,,,,9.0,4.0,1.0,1.0,40.0
2196,5,1,1,1,48,3,5.0,S,S,6.0,S,4.0,7.0,4.0,4.0,2.0,,
2197,13,1,1,1,20,2,5.0,,N,,,,,3.0,2.0,,,
2198,10,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,36.0
2199,3,1,1,1,20,3,,,,,,,,,,,,
2200,3,1,1,1,1,3,,,N,,,,,,,,,
2201,12,1,2,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,,
2202,11,1,2,6,48,2,5.0,S,S,6.0,S,1.0,49.0,4.0,4.0,2.0,,
2203,5,1,1,1,48,3,,,N,,,,,,,,,
2204,10,1,3,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,5.0,40.0
2205,8,2,3,6,48,4,5.0,,N,,,,,10.0,4.0,2.0,5.0,39.0
2206,3,1,1,6,20,3,,,,,,,,,,,,
2207,10,1,2,1,48,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,42.0
2208,10,1,1,1,1,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,34.0
2209,8,1,1,6,20,3,4.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
2210,17,1,1,6,20,1,,,N,,,,,,,,,
2211,15,1,1,1,20,1,3.0,,N,,,,,4.0,2.0,,,
2212,18,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
2213,9,1,1,6,48,2,4.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
2214,18,1,2,6,48,1,,,N,,,,,,,,,
