"rowid","household_number","survey_year","reference_quarter","province","capital","sex","place_birth","age","nationality","formal_educ_system","professional_training","retirement_status","household_duties","part-time_empl","reason_reduced_work","search_work","search_reason","JORB","search_steps","search_method","search_months","availability","relation_to_activity1","relation_to_activity2","main_occupation","main_activity","main_prof_situation","main_sector","contract_type","hours","relationship","elevator","matricule"
1759,759,2023,1,48,9,6,3,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,8,4,2,NA,NA,1,"150.4847","1759_759"
1760,759,2023,1,48,9,1,1,14,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,1,NA,NA,32,2,"150.5204","1760_759"
1761,760,2023,1,20,9,6,3,10,1,"N","S",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,9,4,1,NA,NA,2,"192.7606","1761_760"
1762,760,2023,1,20,9,1,1,10,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,0,1,"201.7205","1762_760"
1763,760,2023,1,20,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"203.1993","1763_760"
1764,760,2023,1,20,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"184.3962","1764_760"
1765,761,2023,1,48,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,1,"202.3089","1765_761"
1766,762,2023,1,48,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"189.2488","1766_762"
1767,763,2023,1,20,9,6,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,2,4,2,1,40,1,"202.9392","1767_763"
1768,763,2023,1,20,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"193.4536","1768_763"
1769,763,2023,1,20,9,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,2,"223.7683","1769_763"
1770,763,2023,1,20,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"175.5523","1770_763"
1771,764,2023,1,20,9,6,1,9,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,6,4,2,1,40,1,"143.2211","1771_764"
1772,764,2023,1,20,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,2,4,2,1,40,2,"159.1385","1772_764"
1773,765,2023,1,20,3,6,2,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,2,4,2,NA,NA,2,"101.5894","1773_765"
1774,765,2023,1,20,3,1,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,5,4,2,NA,NA,1,"95.7226","1774_765"
1775,766,2023,1,20,3,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"113.7221","1775_766"
1776,766,2023,1,20,3,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,5,9,4,1,1,65,1,"143.815","1776_766"
1777,766,2023,1,20,3,6,1,9,1,"S","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,4,8,4,2,1,32,2,"130.4573","1777_766"
1778,767,2023,1,20,9,6,1,10,1,"N","N",4,1,NA,NA,"S",6,2,"S",4,33,"S",2,5,9,10,4,2,NA,NA,2,"176.6804","1778_767"
1779,767,2023,1,20,9,1,1,11,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"190.5774","1779_767"
1780,767,2023,1,20,9,6,1,5,1,"N","N",4,1,2,2,"S",4,1,"S",5,5,"N",1,2,8,4,4,2,5,20,3,"169.9258","1780_767"
1781,767,2023,1,20,9,1,1,5,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,3,10,4,2,2,20,3,"174.0278","1781_767"
1782,768,2023,1,48,1,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,4,40,1,"239.263","1782_768"
1783,769,2023,1,48,1,1,1,10,1,"N","N",3,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,4,2,NA,NA,3,"220.9861","1783_769"
1784,769,2023,1,48,1,6,2,18,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,5,4,5,NA,NA,NA,1,"292.3494","1784_769"
1785,770,2023,1,20,3,6,2,13,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,2,1,38,1,"148.0396","1785_770"
1786,771,2023,1,1,9,6,1,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"70.5821","1786_771"
1787,771,2023,1,1,9,1,3,5,2,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"75.8209","1787_771"
1788,771,2023,1,1,9,1,3,4,2,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"75.8209","1788_771"
1789,771,2023,1,1,9,6,1,1,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"70.5821","1789_771"
1790,771,2023,1,1,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"53.6248","1790_771"
1791,771,2023,1,1,9,1,3,10,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,8,4,2,NA,NA,55,1,"81.5041","1791_771"
1792,771,2023,1,1,9,6,3,8,2,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,8,4,2,NA,NA,2,"77.9227","1792_771"
1793,771,2023,1,1,9,1,3,16,2,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,6,1,4,2,NA,NA,4,"77.6242","1793_771"
1794,772,2023,1,48,9,6,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"205.0338","1794_772"
1795,772,2023,1,48,9,6,1,7,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,3,4,2,1,0,2,"238.6202","1795_772"
1796,772,2023,1,48,9,1,3,8,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,8,4,2,1,40,1,"307.8097","1796_772"
1797,773,2023,1,20,9,6,1,13,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,1,NA,NA,2,"154.8348","1797_773"
1798,773,2023,1,20,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,6,1,2,NA,NA,NA,1,"229.4316","1798_773"
1799,774,2023,1,48,9,6,1,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,4,4,2,NA,NA,2,"288.1694","1799_774"
1800,774,2023,1,48,9,1,1,15,1,"N","N",2,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,7,2,4,2,NA,NA,1,"288.2378","1800_774"
1801,774,2023,1,48,9,1,1,10,1,"N","N",4,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,9,9,4,1,NA,NA,3,"239.8637","1801_774"
1802,775,2023,1,48,1,6,2,18,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"185.7388","1802_775"
1803,776,2023,1,48,9,1,1,13,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,9,9,4,1,5,37,1,"198.7278","1803_776"
1804,777,2023,1,20,9,6,1,11,1,"N","N",4,1,2,3,"N",NA,NA,"",NA,NA,"",1,2,9,8,4,2,1,0,1,"170.0139","1804_777"
1805,778,2023,1,20,9,6,2,13,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"189.1339","1805_778"
1806,778,2023,1,20,9,1,1,5,1,"N","N",4,2,NA,NA,"S",6,2,"S",7,3,"S",2,6,5,8,4,2,NA,NA,3,"150.4775","1806_778"
1807,778,2023,1,20,9,6,1,7,1,"N","S",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,5,35,3,"161.1632","1807_778"
1808,779,2023,1,48,1,6,1,13,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,9,10,4,2,1,38,1,"158.3825","1808_779"
1809,780,2023,1,1,9,1,3,8,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,6,1,4,2,1,40,1,"56.9416","1809_780"
1810,780,2023,1,1,9,6,3,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"47.3619","1810_780"
1811,780,2023,1,1,9,6,3,8,2,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,2,NA,NA,2,"52.2876","1811_780"
1812,781,2023,1,1,2,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,2,4,2,NA,NA,1,"165.0051","1812_781"
1813,782,2023,1,20,9,6,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,1,"128.4235","1813_782"
1814,783,2023,1,20,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,1,4,2,NA,NA,1,"100.1047","1814_783"
1815,783,2023,1,20,9,1,1,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,2,NA,NA,NA,4,"99.9847","1815_783"
1816,784,2023,1,48,9,1,2,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,40,2,"215.8541","1816_784"
1817,784,2023,1,48,9,6,1,12,1,"N","N",4,3,1,2,"N",NA,NA,"",NA,NA,"",1,1,1,4,2,NA,NA,60,1,"243.791","1817_784"
1818,785,2023,1,48,1,1,2,11,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,8,4,2,NA,NA,1,"216.8368","1818_785"
1819,785,2023,1,48,1,6,1,11,1,"N","S",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,9,4,2,1,37,2,"166.9291","1819_785"
1820,786,2023,1,1,9,6,1,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,1,"42.2024","1820_786"
1821,787,2023,1,1,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,5,35,1,"36.0171","1821_787"
1822,787,2023,1,1,9,1,1,6,1,"S","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,3,"54.3214","1822_787"
1823,787,2023,1,1,9,6,1,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,10,4,2,NA,NA,3,"36.9437","1823_787"
1824,788,2023,1,48,9,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,1,1,35,1,"107.314","1824_788"
1825,788,2023,1,48,9,6,1,10,1,"N","S",4,1,1,2,"S",4,1,"S",7,3,"N",1,2,4,2,4,2,1,40,2,"87.3434","1825_788"
1826,789,2023,1,1,9,6,1,8,1,"N","N",4,1,2,3,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,5,0,2,"42.8544","1826_789"
1827,789,2023,1,1,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"43.188","1827_789"
1828,789,2023,1,1,9,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"49.0749","1828_789"
1829,790,2023,1,1,2,1,3,6,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"283.9285","1829_790"
1830,791,2023,1,48,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,5,40,1,"173.4455","1830_791"
1831,791,2023,1,48,9,1,1,4,1,"S","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"201.2674","1831_791"
1832,791,2023,1,48,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"186.9405","1832_791"
1833,792,2023,1,48,9,1,3,3,2,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"334.3193","1833_792"
1834,792,2023,1,48,9,6,2,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"273.7048","1834_792"
1835,792,2023,1,48,9,1,3,4,2,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,1,4,2,NA,NA,3,"290.7378","1835_792"
1836,792,2023,1,48,9,1,2,1,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"274.2645","1836_792"
1837,792,2023,1,48,9,1,3,3,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"274.2645","1837_792"
1838,792,2023,1,48,9,1,2,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"274.2645","1838_792"
1839,792,2023,1,48,9,6,3,9,2,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,8,10,4,2,5,30,2,"314.6282","1839_792"
1840,792,2023,1,48,9,1,3,11,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,5,40,1,"272.2541","1840_792"
1841,793,2023,1,20,3,6,3,7,2,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,38,2,"205.52","1841_793"
1842,793,2023,1,20,3,1,3,8,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,2,NA,NA,41,1,"229.8662","1842_793"
1843,794,2023,1,1,9,6,2,9,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,2,1,32,2,"38.9389","1843_794"
1844,794,2023,1,1,9,1,2,10,1,"N","S",4,2,1,4,"N",NA,NA,"",NA,NA,"",1,2,3,4,4,2,1,0,1,"40.5044","1844_794"
1845,794,2023,1,1,9,1,2,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"36.8326","1845_794"
1846,795,2023,1,48,1,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,3,4,2,NA,NA,1,"183.5747","1846_795"
1847,796,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,2,NA,NA,40,2,"310.4957","1847_796"
1848,796,2023,1,48,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"264.3093","1848_796"
1849,796,2023,1,48,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"264.3093","1849_796"
1850,796,2023,1,48,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,4,2,NA,NA,40,1,"320.1888","1850_796"
1851,797,2023,1,48,1,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,2,NA,NA,NA,1,"173.4257","1851_797"
1852,798,2023,1,20,9,1,1,13,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,2,"127.5331","1852_798"
1853,798,2023,1,20,9,6,1,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"135.3495","1853_798"
1854,799,2023,1,48,9,1,3,5,1,"N","S",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,NA,NA,NA,NA,NA,NA,3,"224.7872","1854_799"
1855,799,2023,1,48,9,1,3,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,5,40,1,"220.0747","1855_799"
1856,800,2023,1,1,9,1,2,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"61.514","1856_800"
1857,800,2023,1,1,9,6,1,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"65.5234","1857_800"
1858,800,2023,1,1,9,6,3,8,2,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,2,1,0,1,"68.8065","1858_800"
1859,800,2023,1,1,9,1,3,8,2,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,32,2,"78.7766","1859_800"
1860,801,2023,1,20,9,6,1,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,4,4,2,NA,NA,2,"121.8268","1860_801"
1861,801,2023,1,20,9,1,1,15,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,3,4,4,2,NA,NA,1,"114.7913","1861_801"
1862,802,2023,1,1,9,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,2,"19.3999","1862_802"
1863,802,2023,1,1,9,6,1,12,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,35,1,"20.1408","1863_802"
1864,802,2023,1,1,9,1,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"18.8483","1864_802"
1865,802,2023,1,1,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"19.8655","1865_802"
1866,803,2023,1,20,9,1,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"130.4631","1866_803"
1867,803,2023,1,20,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,3,4,2,1,40,1,"167.0131","1867_803"
1868,803,2023,1,20,9,6,1,7,1,"N","S",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,21,2,"190.2191","1868_803"
1869,804,2023,1,48,1,6,1,5,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"216.07","1869_804"
1870,804,2023,1,48,1,1,3,12,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,2,"265.5892","1870_804"
1871,804,2023,1,48,1,6,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,35,1,"215.3234","1871_804"
1872,805,2023,1,1,9,6,1,5,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,9,4,2,NA,NA,3,"42.5944","1872_805"
1873,805,2023,1,1,9,1,1,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"39.657","1873_805"
1874,805,2023,1,1,9,1,1,13,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,1,2,4,2,1,32,1,"41.1324","1874_805"
1875,805,2023,1,1,9,6,1,10,1,"N","S",4,1,2,4,"N",NA,NA,"",NA,NA,"",1,2,4,6,4,2,1,25,2,"41.4711","1875_805"
1876,806,2023,1,20,3,6,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,9,4,2,NA,NA,2,"103.9828","1876_806"
1877,806,2023,1,20,3,1,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,4,4,2,NA,NA,1,"97.9777","1877_806"
1878,807,2023,1,20,9,1,1,13,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,1,6,3,NA,NA,NA,1,"150.9857","1878_807"
1879,807,2023,1,20,9,6,1,12,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,0,2,"135.4529","1879_807"
1880,807,2023,1,20,9,1,1,5,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,2,NA,NA,3,"141.0449","1880_807"
1881,808,2023,1,48,9,6,1,13,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,1,0,1,"204.5944","1881_808"
1882,808,2023,1,48,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,5,9,4,1,1,48,2,"191.4579","1882_808"
1883,809,2023,1,48,9,6,1,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,1,NA,NA,2,"155.5237","1883_809"
1884,809,2023,1,48,9,1,1,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,1,6,4,2,NA,NA,1,"155.5606","1884_809"
1885,810,2023,1,20,3,1,2,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,2,4,2,1,40,1,"146.3146","1885_810"
1886,810,2023,1,20,3,6,2,10,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,4,4,2,1,40,2,"136.1412","1886_810"
1887,811,2023,1,48,1,6,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,3,10,4,2,2,20,2,"212.754","1887_811"
1888,811,2023,1,48,1,1,1,6,1,"N","N",4,2,1,4,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,32,3,"307.1406","1888_811"
1889,811,2023,1,48,1,1,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"246.8812","1889_811"
1890,811,2023,1,48,1,1,1,11,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,7,3,2,NA,NA,32,1,"258.4764","1890_811"
1891,812,2023,1,20,3,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,8,2,NA,NA,40,1,"130.5091","1891_812"
1892,812,2023,1,20,3,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,2,NA,NA,35,2,"121.4986","1892_812"
1893,813,2023,1,1,9,6,1,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,2,"12.9143","1893_813"
1894,813,2023,1,1,9,1,1,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,3,4,2,NA,NA,1,"12.3097","1894_813"
1895,814,2023,1,20,9,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,5,4,2,NA,NA,45,1,"215.1494","1895_814"
1896,815,2023,1,48,1,6,1,7,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,0,1,"293.612","1896_815"
1897,816,2023,1,48,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,4,3,NA,NA,40,1,"196.0016","1897_816"
1898,816,2023,1,48,9,6,1,11,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,9,4,2,NA,NA,2,"194.5596","1898_816"
1899,816,2023,1,48,9,6,1,5,1,"S","N",4,2,NA,NA,"S",5,4,"S",7,3,"S",1,3,2,9,2,NA,NA,4,3,"198.7264","1899_816"
1900,817,2023,1,1,2,1,1,13,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,1,5,37,1,"163.3342","1900_817"
1901,817,2023,1,1,2,6,1,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,10,4,2,NA,NA,2,"156.5082","1901_817"
1902,817,2023,1,1,2,6,1,7,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,0,3,"247.692","1902_817"
1903,818,2023,1,20,9,1,2,18,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,4,2,NA,NA,1,"94.7269","1903_818"
1904,818,2023,1,20,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,2,4,2,NA,NA,2,"100.5326","1904_818"
1905,819,2023,1,48,9,1,1,16,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,9,8,4,1,NA,NA,1,"191.7198","1905_819"
1906,820,2023,1,20,9,1,1,9,1,"N","N",4,3,1,3,"N",NA,NA,"",NA,NA,"",1,2,5,4,2,NA,NA,0,3,"182.6809","1906_820"
1907,820,2023,1,20,9,6,1,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,4,4,2,NA,NA,1,"239.9729","1907_820"
1908,821,2023,1,48,1,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,40,1,"194.0013","1908_821"
1909,822,2023,1,1,9,6,2,13,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,2,NA,NA,NA,1,"25.8434","1909_822"
1910,823,2023,1,48,1,1,1,6,1,"N","S",4,2,NA,NA,"S",6,2,"N",NA,4,"S",4,7,4,9,4,1,NA,NA,3,"348.5454","1910_823"
1911,823,2023,1,48,1,6,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,3,9,10,4,2,5,10,2,"167.1815","1911_823"
1912,823,2023,1,48,1,1,1,11,1,"N","N",3,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,9,3,4,2,NA,NA,1,"205.5272","1912_823"
1913,824,2023,1,48,9,6,2,5,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,4,"549.0426","1913_824"
1914,824,2023,1,48,9,6,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,4,"256.3753","1914_824"
1915,824,2023,1,48,9,1,1,4,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"276.588","1915_824"
